"genes","symbol","v15.Counts","v32.Counts"
"ENSG00000091009","RBM27",977,740
"ENSG00000091010","POU4F3",0,0
"ENSG00000091039","OSBPL8",4896,4837
"ENSG00000091073","DTX2",570,518
"ENSG00000091106","NLRC4",199,197
"ENSG00000091127","PUS7",1199,1190
"ENSG00000091128","LAMB4",2,2
"ENSG00000091129","NRCAM",16,16
"ENSG00000091136","LAMB1",621,785
"ENSG00000091137","SLC26A4",4,4
"ENSG00000091138","SLC26A3",4,4
"ENSG00000091140","DLD",1886,1864
"ENSG00000091157","WDR7",1131,1047
"ENSG00000091164","TXNL1",1814,1788
"ENSG00000091181","IL5RA",12,12
"ENSG00000091262","ABCC6",118,98
"ENSG00000091317","CMTM6",3412,3021
"ENSG00000091409","ITGA6",7199,6595
"ENSG00000091428","RAPGEF4",36,36
"ENSG00000091436","MAP3K20",2941,2642
"ENSG00000091482","SMPX",0,0
"ENSG00000091483","FH",1165,1150
"ENSG00000091490","SEL1L3",2634,2603
"ENSG00000091513","TF",1673,1435
"ENSG00000091527","CDV3",5931,5878
"ENSG00000091536","MYO15A",78,77
"ENSG00000091542","ALKBH5",2277,2120
"ENSG00000091583","APOH",0,0
"ENSG00000091592","NLRP1",5180,4882
"ENSG00000091622","PITPNM3",80,79
"ENSG00000091640","SPAG7",896,884
"ENSG00000091651","ORC6",440,437
"ENSG00000091656","ZFHX4",218,212
"ENSG00000091664","SLC17A6",0,0
"ENSG00000091704","CPA1",1,0
"ENSG00000091732","ZC3HC1",553,468
"ENSG00000091831","ESR1",225,217
"ENSG00000091844","RGS17",33,33
"ENSG00000091879","ANGPT2",278,269
"ENSG00000091947","TMEM101",474,465
"ENSG00000091972","CD200",1647,1619
"ENSG00000091986","CCDC80",966,951
"ENSG00000092009","CMA1",1,1
"ENSG00000092010","PSME1",2824,2744
"ENSG00000092020","PPP2R3C",958,685
"ENSG00000092036","HAUS4",563,296
"ENSG00000092051","JPH4",30,30
"ENSG00000092054","MYH7",0,0
"ENSG00000092067","CEBPE",52,51
"ENSG00000092068","SLC7A8",143,137
"ENSG00000092094","OSGEP",1363,1305
"ENSG00000092096","SLC22A17",131,130
"ENSG00000092098","RNF31",1376,93
"ENSG00000092108","SCFD1",1883,3329
"ENSG00000092140","G2E3",1450,1416
"ENSG00000092148","HECTD1",7894,7320
"ENSG00000092199","HNRNPC",9670,9615
"ENSG00000092200","RPGRIP1",33,33
"ENSG00000092201","SUPT16H",5558,5506
"ENSG00000092203","TOX4",2255,2092
"ENSG00000092208","GEMIN2",214,215
"ENSG00000092295","TGM1",143,139
"ENSG00000092330","TINF2",1406,1386
"ENSG00000092345","DAZL",3,3
"ENSG00000092377","TBL1Y",0,0
"ENSG00000092421","SEMA6A",328,305
"ENSG00000092439","TRPM7",5799,5353
"ENSG00000092445","TYRO3",52,52
"ENSG00000092470","WDR76",984,972
"ENSG00000092529","CAPN3",178,529
"ENSG00000092531","SNAP23",1713,536
"ENSG00000092607","TBX15",26,27
"ENSG00000092621","PHGDH",1293,1334
"ENSG00000092758","COL9A3",23,21
"ENSG00000092820","EZR",2035,1946
"ENSG00000092841","MYL6",3780,2319
"ENSG00000092847","AGO1",7020,8231
"ENSG00000092850","TEKT2",21,21
"ENSG00000092853","CLSPN",1117,1275
"ENSG00000092871","RFFL",1505,1130
"ENSG00000092929","UNC13D",4018,3937
"ENSG00000092931","MFSD11",970,806
"ENSG00000092964","DPYSL2",1817,1788
"ENSG00000092969","TGFB2",3,3
"ENSG00000092978","GPATCH2",512,506
"ENSG00000093000","NUP50",3955,3922
"ENSG00000093009","CDC45",737,725
"ENSG00000093010","COMT",3408,3318
"ENSG00000093072","ADA2",5952,6009
"ENSG00000093100","AC016026.1",27,26
"ENSG00000093134","VNN3",93,100
"ENSG00000093144","ECHDC1",1227,1211
"ENSG00000093167","LRRFIP2",2419,2395
"ENSG00000093183","SEC22C",1530,1490
"ENSG00000093217","XYLB",309,325
"ENSG00000094631","HDAC6",2488,2441
"ENSG00000094661","OR1I1",0,1
"ENSG00000094755","GABRP",3,3
"ENSG00000094796","KRT31",0,0
"ENSG00000094804","CDC6",534,534
"ENSG00000094841","UPRT",237,249
"ENSG00000094880","CDC23",1239,1208
"ENSG00000094914","AAAS",1280,1263
"ENSG00000094916","CBX5",7585,7370
"ENSG00000094963","FMO2",217,179
"ENSG00000094975","SUCO",3187,3166
"ENSG00000095002","MSH2",1850,1883
"ENSG00000095015","MAP3K1",3939,3706
"ENSG00000095059","DHPS",1706,289
"ENSG00000095066","HOOK2",678,660
"ENSG00000095110","NXPE1",3,3
"ENSG00000095139","ARCN1",4415,4356
"ENSG00000095203","EPB41L4B",85,82
"ENSG00000095209","TMEM38B",464,457
"ENSG00000095261","PSMD5",1492,1473
"ENSG00000095303","PTGS1",763,755
"ENSG00000095319","NUP188",5676,5396
"ENSG00000095321","CRAT",782,704
"ENSG00000095370","SH2D3C",2652,2587
"ENSG00000095380","NANS",1340,1089
"ENSG00000095383","TBC1D2",1241,1216
"ENSG00000095397","WHRN",192,187
"ENSG00000095464","PDE6C",60,60
"ENSG00000095485","CWF19L1",1205,1125
"ENSG00000095539","SEMA4G",230,171
"ENSG00000095564","BTAF1",7362,7274
"ENSG00000095574","IKZF5",1231,1109
"ENSG00000095585","BLNK",240,219
"ENSG00000095587","TLL2",10,10
"ENSG00000095596","CYP26A1",1,1
"ENSG00000095627","TDRD1",2,2
"ENSG00000095637","SORBS1",257,251
"ENSG00000095713","CRTAC1",47,42
"ENSG00000095739","BAMBI",5,5
"ENSG00000095752","IL11",9,8
"ENSG00000095777","MYO3A",1,1
"ENSG00000095787","WAC",7399,7201
"ENSG00000095794","CREM",251,246
"ENSG00000095906","NUBP2",741,706
"ENSG00000095917","TPSD1",18,15
"ENSG00000095932","SMIM24",1833,1788
"ENSG00000095951","HIVEP1",976,955
"ENSG00000095970","TREM2",7,7
"ENSG00000095981","KCNK16",82,80
"ENSG00000096006","CRISP3",92,91
"ENSG00000096060","FKBP5",9052,8910
"ENSG00000096063","SRPK1",3913,2324
"ENSG00000096070","BRPF3",2339,2289
"ENSG00000096080","MRPS18A",222,154
"ENSG00000096088","PGC",14,14
"ENSG00000096092","TMEM14A",108,108
"ENSG00000096093","EFHC1",1027,1239
"ENSG00000096264","NCR2",0,0
"ENSG00000096384","HSP90AB1",32952,32655
"ENSG00000096395","MLN",1,1
"ENSG00000096401","CDC5L",2156,2133
"ENSG00000096433","ITPR3",3997,3864
"ENSG00000096654","ZNF184",366,297
"ENSG00000096696","DSP",14,14
"ENSG00000096717","SIRT1",1253,1231
"ENSG00000096746","HNRNPH3",5930,5030
"ENSG00000096872","IFT74",551,655
"ENSG00000096968","JAK2",3643,3844
"ENSG00000096996","IL12RB1",182,178
"ENSG00000097007","ABL1",3364,3392
"ENSG00000097021","ACOT7",337,330
"ENSG00000097033","SH3GLB1",4047,3989
"ENSG00000097046","CDC7",1163,1151
"ENSG00000097096","SYDE2",278,273
"ENSG00000099139","PCSK5",147,146
"ENSG00000099194","SCD",533,530
"ENSG00000099203","TMED1",235,207
"ENSG00000099204","ABLIM1",2734,2710
"ENSG00000099219","ERMP1",4015,3930
"ENSG00000099246","RAB18",1869,1846
"ENSG00000099250","NRP1",606,540
"ENSG00000099251","HSD17B7P2",172,120
"ENSG00000099256","PRTFDC1",56,53
"ENSG00000099260","PALMD",26,26
"ENSG00000099282","TSPAN15",27,26
"ENSG00000099284","MACROH2A2",102,202
"ENSG00000099290","WASHC2A",1375,1353
"ENSG00000099308","MAST3",1731,1599
"ENSG00000099326","MZF1",3714,3021
"ENSG00000099330","OCEL1",181,180
"ENSG00000099331","MYO9B",12381,10757
"ENSG00000099337","KCNK6",222,218
"ENSG00000099338","CATSPERG",222,211
"ENSG00000099341","PSMD8",1626,1594
"ENSG00000099364","FBXL19",1325,1263
"ENSG00000099365","STX1B",61,58
"ENSG00000099377","HSD3B7",39,30
"ENSG00000099381","SETD1A",3345,3268
"ENSG00000099385","BCL7C",503,330
"ENSG00000099399","MAGEB2",0,0
"ENSG00000099617","EFNA2",0,1
"ENSG00000099622","CIRBP",2721,2659
"ENSG00000099624","ATP5F1D",1030,999
"ENSG00000099625","CBARP",25,25
"ENSG00000099715","PCDH11Y",0,0
"ENSG00000099721","AMELY",0,0
"ENSG00000099725","PRKY",2631,2537
"ENSG00000099769","IGFALS",54,48
"ENSG00000099783","HNRNPM",6705,6274
"ENSG00000099785","MARCHF2",418,411
"ENSG00000099795","NDUFB7",320,316
"ENSG00000099797","TECR",2032,1753
"ENSG00000099800","TIMM13",936,808
"ENSG00000099804","CDC34",555,545
"ENSG00000099810","MTAP",2326,1943
"ENSG00000099812","MISP",6,6
"ENSG00000099814","CEP170B",69,68
"ENSG00000099817","POLR2E",1950,1897
"ENSG00000099821","POLRMT",1825,1805
"ENSG00000099822","HCN2",39,37
"ENSG00000099834","CDHR5",712,695
"ENSG00000099840","IZUMO4",58,56
"ENSG00000099849","RASSF7",395,379
"ENSG00000099860","GADD45B",409,407
"ENSG00000099864","PALM",443,434
"ENSG00000099866","MADCAM1",11,11
"ENSG00000099869","IGF2-AS",6,4
"ENSG00000099875","MKNK2",5367,5256
"ENSG00000099889","ARVCF",503,484
"ENSG00000099899","TRMT2A",1150,983
"ENSG00000099901","RANBP1",1704,1647
"ENSG00000099904","ZDHHC8",2696,2634
"ENSG00000099910","KLHL22",1173,1039
"ENSG00000099917","MED15",5437,5241
"ENSG00000099937","SERPIND1",161,142
"ENSG00000099940","SNAP29",1569,1291
"ENSG00000099942","CRKL",3388,3318
"ENSG00000099949","LZTR1",1836,378
"ENSG00000099953","MMP11",34,43
"ENSG00000099954","CECR2",18,16
"ENSG00000099956","SMARCB1",1590,2702
"ENSG00000099957","P2RX6",21,21
"ENSG00000099958","DERL3",638,120
"ENSG00000099960","SLC7A4",4,4
"ENSG00000099968","BCL2L13",2011,1988
"ENSG00000099974","DDTL",92,52
"ENSG00000099977","DDT",173,0
"ENSG00000099984","GSTT2",0,0
"ENSG00000099985","OSM",630,619
"ENSG00000099991","CABIN1",7216,7047
"ENSG00000099992","TBC1D10A",508,368
"ENSG00000099994","SUSD2",87,81
"ENSG00000099995","SF3A1",6130,5867
"ENSG00000099998","GGT5",1062,1036
"ENSG00000099999","RNF215",300,249
"ENSG00000100003","SEC14L2",297,264
"ENSG00000100012","SEC14L3",25,25
"ENSG00000100014","SPECC1L",1306,1158
"ENSG00000100023","PPIL2",2458,2214
"ENSG00000100024","UPB1",45,41
"ENSG00000100027","YPEL1",261,239
"ENSG00000100028","SNRPD3",1330,1768
"ENSG00000100029","PES1",1401,1375
"ENSG00000100030","MAPK1",6513,6217
"ENSG00000100031","GGT1",66,8
"ENSG00000100033","PRODH",528,435
"ENSG00000100034","PPM1F",6698,6073
"ENSG00000100036","SLC35E4",22,19
"ENSG00000100038","TOP3B",93,66
"ENSG00000100053","CRYBB3",2,2
"ENSG00000100055","CYTH4",2103,2062
"ENSG00000100056","ESS2",413,398
"ENSG00000100058","CRYBB2P1",686,680
"ENSG00000100060","MFNG",2339,2294
"ENSG00000100065","CARD10",38,35
"ENSG00000100068","LRP5L",1614,1653
"ENSG00000100075","SLC25A1",910,884
"ENSG00000100077","GRK3",3156,3116
"ENSG00000100078","PLA2G3",1,1
"ENSG00000100079","LGALS2",59,58
"ENSG00000100083","GGA1",2551,2492
"ENSG00000100084","HIRA",693,361
"ENSG00000100092","SH3BP1",4610,505
"ENSG00000100095","SEZ6L",69,66
"ENSG00000100097","LGALS1",950,936
"ENSG00000100099","HPS4",3037,2991
"ENSG00000100100","PIK3IP1",1071,1048
"ENSG00000100101","Z83844.1",10,0
"ENSG00000100104","SRRD",683,534
"ENSG00000100105","PATZ1",2429,2386
"ENSG00000100106","TRIOBP",1189,3164
"ENSG00000100109","TFIP11",930,831
"ENSG00000100116","GCAT",206,204
"ENSG00000100121","GGTLC2",0,0
"ENSG00000100122","CRYBB1",13,10
"ENSG00000100124","ANKRD54",650,603
"ENSG00000100129","EIF3L",7559,5839
"ENSG00000100138","SNU13",2118,2161
"ENSG00000100139","MICALL1",1248,1224
"ENSG00000100142","POLR2F",53,500
"ENSG00000100146","SOX10",0,91
"ENSG00000100147","CCDC134",560,2569
"ENSG00000100150","DEPDC5",1727,1228
"ENSG00000100151","PICK1",557,502
"ENSG00000100154","TTC28",617,543
"ENSG00000100156","SLC16A8",47,45
"ENSG00000100162","CENPM",335,328
"ENSG00000100167","SEPTIN3",8,8
"ENSG00000100170","SLC5A1",2,2
"ENSG00000100181","TPTEP1",259,156
"ENSG00000100191","SLC5A4",136,125
"ENSG00000100196","KDELR3",97,97
"ENSG00000100197","CYP2D6",158,152
"ENSG00000100201","DDX17",41066,40470
"ENSG00000100206","DMC1",50,48
"ENSG00000100207","TCF20",2627,2594
"ENSG00000100209","HSCB",187,161
"ENSG00000100211","CBY1",183,139
"ENSG00000100216","TOMM22",913,902
"ENSG00000100218","RSPH14",3,3
"ENSG00000100219","XBP1",0,8339
"ENSG00000100220","RTCB",1329,1309
"ENSG00000100221","JOSD1",2638,2594
"ENSG00000100225","FBXO7",4707,4630
"ENSG00000100226","GTPBP1",3654,3517
"ENSG00000100227","POLDIP3",3112,3057
"ENSG00000100228","RAB36",40,39
"ENSG00000100234","TIMP3",24,324
"ENSG00000100239","PPP6R2",3153,3051
"ENSG00000100241","SBF1",7211,7050
"ENSG00000100242","SUN2",8623,5363
"ENSG00000100243","CYB5R3",3135,3065
"ENSG00000100246","DNAL4",163,152
"ENSG00000100249","C22orf31",0,0
"ENSG00000100253","MIOX",1,1
"ENSG00000100258","LMF2",1832,1791
"ENSG00000100263","RHBDD3",824,795
"ENSG00000100266","PACSIN2",2201,2167
"ENSG00000100271","TTLL1",201,181
"ENSG00000100276","RASL10A",38,36
"ENSG00000100280","AP1B1",4062,3965
"ENSG00000100281","HMGXB4",1527,1506
"ENSG00000100284","TOM1",1687,1650
"ENSG00000100285","NEFH",336,305
"ENSG00000100288","CHKB",338,56
"ENSG00000100290","BIK",41,40
"ENSG00000100292","HMOX1",643,619
"ENSG00000100294","MCAT",426,421
"ENSG00000100296","THOC5",1636,1611
"ENSG00000100297","MCM5",6341,6247
"ENSG00000100298","APOBEC3H",13,13
"ENSG00000100299","ARSA",381,406
"ENSG00000100300","TSPO",1560,1524
"ENSG00000100302","RASD2",8,8
"ENSG00000100304","TTLL12",3880,3796
"ENSG00000100307","CBX7",1125,1000
"ENSG00000100311","PDGFB",33,34
"ENSG00000100312","ACR",43,42
"ENSG00000100314","CABP7",36,25
"ENSG00000100316","RPL3",57442,56907
"ENSG00000100319","ZMAT5",234,177
"ENSG00000100320","RBFOX2",320,314
"ENSG00000100321","SYNGR1",3729,3654
"ENSG00000100324","TAB1",1926,1882
"ENSG00000100325","ASCC2",2576,2540
"ENSG00000100330","MTMR3",828,619
"ENSG00000100335","MIEF1",1982,1848
"ENSG00000100336","APOL4",139,133
"ENSG00000100341","PNPLA5",0,0
"ENSG00000100342","APOL1",884,866
"ENSG00000100344","PNPLA3",11,11
"ENSG00000100345","MYH9",30448,29853
"ENSG00000100346","CACNA1I",264,262
"ENSG00000100347","SAMM50",1177,1019
"ENSG00000100348","TXN2",1267,1240
"ENSG00000100350","FOXRED2",1600,1563
"ENSG00000100351","GRAP2",626,616
"ENSG00000100353","EIF3D",6876,6777
"ENSG00000100354","TNRC6B",12710,12526
"ENSG00000100359","SGSM3",2402,140
"ENSG00000100360","IFT27",1678,1487
"ENSG00000100362","PVALB",1,1
"ENSG00000100364","KIAA0930",6957,6781
"ENSG00000100365","NCF4",1040,990
"ENSG00000100368","CSF2RB",1237,1210
"ENSG00000100372","SLC25A17",654,650
"ENSG00000100373","UPK3A",1,1
"ENSG00000100376","FAM118A",1186,1172
"ENSG00000100379","KCTD17",176,171
"ENSG00000100380","ST13",4208,4194
"ENSG00000100385","IL2RB",1584,1539
"ENSG00000100387","RBX1",854,845
"ENSG00000100393","EP300",11279,10894
"ENSG00000100395","L3MBTL2",1276,946
"ENSG00000100399","CHADL",41,31
"ENSG00000100401","RANGAP1",2939,2924
"ENSG00000100403","ZC3H7B",5174,5071
"ENSG00000100410","PHF5A",463,457
"ENSG00000100412","ACO2",2063,2222
"ENSG00000100413","POLR3H",1469,720
"ENSG00000100416","TRMU",1298,1300
"ENSG00000100417","PMM1",129,99
"ENSG00000100418","DESI1",1171,1154
"ENSG00000100422","CERK",4031,3964
"ENSG00000100425","BRD1",2300,2274
"ENSG00000100426","ZBED4",3184,3126
"ENSG00000100427","MLC1",4521,4416
"ENSG00000100429","HDAC10",917,116
"ENSG00000100433","KCNK10",0,0
"ENSG00000100439","ABHD4",903,852
"ENSG00000100441","KHNYN",3378,2953
"ENSG00000100442","FKBP3",863,716
"ENSG00000100445","SDR39U1",372,228
"ENSG00000100448","CTSG",522,516
"ENSG00000100450","GZMH",123,120
"ENSG00000100453","GZMB",109,106
"ENSG00000100461","RBM23",3983,3835
"ENSG00000100462","PRMT5",1553,729
"ENSG00000100473","COCH",907,621
"ENSG00000100478","AP4S1",844,968
"ENSG00000100479","POLE2",488,483
"ENSG00000100483","VCPKMT",412,408
"ENSG00000100485","SOS2",3488,3461
"ENSG00000100490","CDKL1",207,470
"ENSG00000100503","NIN",9014,8675
"ENSG00000100504","PYGL",6637,5808
"ENSG00000100505","TRIM9",88,83
"ENSG00000100519","PSMC6",1736,1723
"ENSG00000100522","GNPNAT1",506,317
"ENSG00000100523","DDHD1",3850,3734
"ENSG00000100526","CDKN3",196,194
"ENSG00000100528","CNIH1",1782,1758
"ENSG00000100532","CGRRF1",237,228
"ENSG00000100554","ATP6V1D",665,667
"ENSG00000100557","CCDC198",3,3
"ENSG00000100558","PLEK2",34,34
"ENSG00000100564","PIGH",463,416
"ENSG00000100565","LRRC74A",1,1
"ENSG00000100567","PSMA3",2524,2491
"ENSG00000100568","VTI1B",1883,1254
"ENSG00000100575","TIMM9",358,270
"ENSG00000100577","GSTZ1",352,345
"ENSG00000100578","KIAA0586",1570,1735
"ENSG00000100580","TMED8",5517,5417
"ENSG00000100583","SAMD15",90,90
"ENSG00000100591","AHSA1",2008,1978
"ENSG00000100592","DAAM1",584,575
"ENSG00000100593","ISM2",4,3
"ENSG00000100596","SPTLC2",7207,7111
"ENSG00000100599","RIN3",7618,7456
"ENSG00000100600","LGMN",450,439
"ENSG00000100601","ALKBH1",327,325
"ENSG00000100603","SNW1",1747,1332
"ENSG00000100604","CHGA",27,26
"ENSG00000100605","ITPK1",2262,2224
"ENSG00000100612","DHRS7",1401,1233
"ENSG00000100614","PPM1A",3056,3023
"ENSG00000100625","SIX4",7,6
"ENSG00000100626","GALNT16",12,12
"ENSG00000100628","ASB2",55,51
"ENSG00000100629","CEP128",823,808
"ENSG00000100632","ERH",1419,868
"ENSG00000100644","HIF1A",7499,6433
"ENSG00000100647","SUSD6",2997,2939
"ENSG00000100650","SRSF5",13170,13051
"ENSG00000100652","SLC10A1",22,22
"ENSG00000100664","EIF5",10206,10106
"ENSG00000100665","SERPINA4",0,0
"ENSG00000100678","SLC8A3",176,173
"ENSG00000100697","DICER1",7438,7435
"ENSG00000100711","ZFYVE21",567,426
"ENSG00000100714","MTHFD1",3350,2823
"ENSG00000100721","TCL1A",304,259
"ENSG00000100722","ZC3H14",1551,1459
"ENSG00000100726","TELO2",1636,1598
"ENSG00000100731","PCNX1",8225,7822
"ENSG00000100739","BDKRB1",0,0
"ENSG00000100744","GSKIP",299,298
"ENSG00000100749","VRK1",790,774
"ENSG00000100764","PSMC1",518,469
"ENSG00000100767","PAPLN",797,627
"ENSG00000100784","RPS6KA5",1311,1281
"ENSG00000100796","PPP4R3A",4708,4657
"ENSG00000100802","C14orf93",452,343
"ENSG00000100804","PSMB5",635,633
"ENSG00000100811","YY1",5924,5587
"ENSG00000100813","ACIN1",11254,11081
"ENSG00000100814","CCNB1IP1",1287,1248
"ENSG00000100815","TRIP11",2042,2122
"ENSG00000100823","APEX1",3836,3749
"ENSG00000100836","PABPN1",3336,1252
"ENSG00000100842","EFS",49,42
"ENSG00000100852","ARHGAP5",2045,1356
"ENSG00000100865","CINP",458,435
"ENSG00000100867","DHRS2",4,4
"ENSG00000100883","SRP54",1813,1910
"ENSG00000100884","CPNE6",29,29
"ENSG00000100888","CHD8",5682,5757
"ENSG00000100889","PCK2",460,455
"ENSG00000100890","PRORP",295,253
"ENSG00000100897","DCAF11",2326,1907
"ENSG00000100902","PSMA6",618,273
"ENSG00000100906","NFKBIA",4105,4045
"ENSG00000100908","EMC9",118,72
"ENSG00000100911","PSME2",1557,1441
"ENSG00000100916","BRMS1L",267,247
"ENSG00000100918","REC8",1902,1825
"ENSG00000100926","TM9SF1",194,102
"ENSG00000100934","SEC23A",1454,1412
"ENSG00000100938","GMPR2",1427,1404
"ENSG00000100941","PNN",8514,7996
"ENSG00000100949","RABGGTA",1025,961
"ENSG00000100968","NFATC4",41,39
"ENSG00000100979","PLTP",700,660
"ENSG00000100982","PCIF1",1880,1781
"ENSG00000100983","GSS",870,921
"ENSG00000100985","MMP9",308,262
"ENSG00000100987","VSX1",2,3
"ENSG00000100991","TRPC4AP",3908,3820
"ENSG00000100994","PYGB",2062,2030
"ENSG00000100997","ABHD12",1010,1072
"ENSG00000101000","PROCR",138,143
"ENSG00000101003","GINS1",629,615
"ENSG00000101004","NINL",50,50
"ENSG00000101017","CD40",142,140
"ENSG00000101019","UQCC1",1171,1156
"ENSG00000101040","ZMYND8",2306,2271
"ENSG00000101049","SGK2",128,103
"ENSG00000101052","IFT52",571,562
"ENSG00000101057","MYBL2",1110,1087
"ENSG00000101074","R3HDML",0,0
"ENSG00000101076","HNF4A",2,1
"ENSG00000101079","NDRG3",1704,1696
"ENSG00000101082","SLA2",596,574
"ENSG00000101084","RAB5IF",799,185
"ENSG00000101096","NFATC2",2042,1994
"ENSG00000101098","RIMS4",0,1
"ENSG00000101104","PABPC1L",1434,1397
"ENSG00000101109","STK4",6486,6425
"ENSG00000101115","SALL4",64,68
"ENSG00000101126","ADNP",4714,4788
"ENSG00000101132","PFDN4",194,193
"ENSG00000101134","DOK5",1,1
"ENSG00000101138","CSTF1",824,809
"ENSG00000101144","BMP7",1,0
"ENSG00000101146","RAE1",1080,1059
"ENSG00000101150","TPD52L2",2431,2388
"ENSG00000101152","DNAJC5",2822,2765
"ENSG00000101158","NELFCD",3423,3370
"ENSG00000101160","CTSZ",3867,3809
"ENSG00000101161","PRPF6",2784,2735
"ENSG00000101162","TUBB1",250,232
"ENSG00000101166","PRELID3B",943,928
"ENSG00000101180","HRH3",5,3
"ENSG00000101181","MTG2",528,520
"ENSG00000101182","PSMA7",2286,2253
"ENSG00000101187","SLCO4A1",748,618
"ENSG00000101188","NTSR1",16,14
"ENSG00000101189","MRGBP",401,392
"ENSG00000101190","TCFL5",353,326
"ENSG00000101191","DIDO1",5635,5512
"ENSG00000101193","GID8",1985,1957
"ENSG00000101194","SLC17A9",6714,6557
"ENSG00000101197","BIRC7",1,1
"ENSG00000101198","NKAIN4",0,1
"ENSG00000101199","ARFGAP1",2408,2351
"ENSG00000101200","AVP",1,1
"ENSG00000101203","COL20A1",3,3
"ENSG00000101204","CHRNA4",1,1
"ENSG00000101210","EEF1A2",6,7
"ENSG00000101213","PTK6",148,147
"ENSG00000101216","GMEB2",851,830
"ENSG00000101220","C20orf27",1297,1262
"ENSG00000101222","SPEF1",4,4
"ENSG00000101224","CDC25B",1757,1715
"ENSG00000101230","ISM1",39,40
"ENSG00000101236","RNF24",11947,11183
"ENSG00000101246","ARFRP1",594,576
"ENSG00000101247","NDUFAF5",453,448
"ENSG00000101251","SEL1L2",1,1
"ENSG00000101255","TRIB3",452,447
"ENSG00000101265","RASSF2",8235,8093
"ENSG00000101266","CSNK2A1",3979,5144
"ENSG00000101276","SLC52A3",135,134
"ENSG00000101278","RPS10P5",67,45
"ENSG00000101280","ANGPT4",128,126
"ENSG00000101282","RSPO4",13,13
"ENSG00000101290","CDS2",4457,4405
"ENSG00000101292","PROKR2",2,5
"ENSG00000101294","HM13",6373,5495
"ENSG00000101298","SNPH",105,99
"ENSG00000101306","MYLK2",38,36
"ENSG00000101307","SIRPB1",1472,1525
"ENSG00000101310","SEC23B",2262,2230
"ENSG00000101311","FERMT1",627,615
"ENSG00000101323","HAO1",1,0
"ENSG00000101327","PDYN",0,0
"ENSG00000101331","CCM2L",10,7
"ENSG00000101333","PLCB4",466,463
"ENSG00000101335","MYL9",88,86
"ENSG00000101336","HCK",1464,1442
"ENSG00000101337","TM9SF4",3323,3260
"ENSG00000101342","TLDC2",223,59
"ENSG00000101343","CRNKL1",1085,1078
"ENSG00000101346","POFUT1",1757,1688
"ENSG00000101347","SAMHD1",6004,5829
"ENSG00000101349","PAK5",0,0
"ENSG00000101350","KIF3B",920,909
"ENSG00000101353","MROH8",83,75
"ENSG00000101361","NOP56",5303,4356
"ENSG00000101363","MANBAL",362,353
"ENSG00000101365","IDH3B",1740,1713
"ENSG00000101367","MAPRE1",3620,3595
"ENSG00000101384","JAG1",1698,1669
"ENSG00000101391","CDK5RAP1",1327,1308
"ENSG00000101400","SNTA1",80,80
"ENSG00000101405","OXT",26,24
"ENSG00000101407","TTI1",1913,1892
"ENSG00000101412","E2F1",888,875
"ENSG00000101413","RPRD1B",1364,1346
"ENSG00000101417","PXMP4",282,278
"ENSG00000101421","CHMP4B",1415,1400
"ENSG00000101425","BPI",615,454
"ENSG00000101435","CST9L",0,0
"ENSG00000101438","SLC32A1",1,1
"ENSG00000101439","CST3",2418,2364
"ENSG00000101440","ASIP",56,55
"ENSG00000101441","CST4",0,0
"ENSG00000101442","ACTR5",563,553
"ENSG00000101443","WFDC2",15,15
"ENSG00000101444","AHCY",2547,2070
"ENSG00000101445","PPP1R16B",1087,1069
"ENSG00000101446","SPINT3",0,0
"ENSG00000101447","FAM83D",192,187
"ENSG00000101448","EPPIN",0,0
"ENSG00000101452","DHX35",724,715
"ENSG00000101457","DNTTIP1",542,531
"ENSG00000101460","MAP1LC3A",55,43
"ENSG00000101463","SYNDIG1",0,0
"ENSG00000101464","PIGU",736,724
"ENSG00000101470","TNNC2",11,11
"ENSG00000101473","ACOT8",624,545
"ENSG00000101474","APMAP",3271,3038
"ENSG00000101489","CELF4",7,5
"ENSG00000101493","ZNF516",4330,4255
"ENSG00000101542","CDH20",4,4
"ENSG00000101544","ADNP2",2000,1964
"ENSG00000101546","RBFA",909,820
"ENSG00000101557","USP14",2922,2872
"ENSG00000101558","VAPA",4765,4708
"ENSG00000101574","METTL4",454,449
"ENSG00000101577","LPIN2",4119,3581
"ENSG00000101596","SMCHD1",7992,7734
"ENSG00000101605","MYOM1",248,233
"ENSG00000101608","MYL12A",3052,2005
"ENSG00000101624","CEP76",345,321
"ENSG00000101638","ST8SIA5",5,5
"ENSG00000101639","CEP192",4201,4150
"ENSG00000101654","RNMT",2189,2164
"ENSG00000101665","SMAD7",95,105
"ENSG00000101670","LIPG",8,7
"ENSG00000101680","LAMA1",1,1
"ENSG00000101695","RNF125",3215,3014
"ENSG00000101745","ANKRD12",4982,4494
"ENSG00000101746","NOL4",0,0
"ENSG00000101751","POLI",1937,1832
"ENSG00000101752","MIB1",4363,4357
"ENSG00000101773","RBBP8",979,965
"ENSG00000101782","RIOK3",2596,2576
"ENSG00000101811","CSTF2",408,427
"ENSG00000101812","H2BW2",0,0
"ENSG00000101825","MXRA5",412,403
"ENSG00000101842","VSIG1",49,48
"ENSG00000101843","PSMD10",529,525
"ENSG00000101844","ATG4A",400,396
"ENSG00000101846","STS",530,554
"ENSG00000101849","TBL1X",1752,1768
"ENSG00000101850","GPR143",8,7
"ENSG00000101856","PGRMC1",683,676
