"","GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
"ENSG00000141527",5,15,3,8,4,9
"ENSG00000141540",488,288,178,102,178,104
"ENSG00000141542",39,24,31,23,32,32
"ENSG00000141543",2318,2635,1673,974,3607,2020
"ENSG00000141551",6604,4057,5797,3269,18184,9279
"ENSG00000141552",307,190,711,424,1192,682
"ENSG00000141556",1719,1172,1212,752,2081,1201
"ENSG00000141560",514,299,321,186,290,169
"ENSG00000141562",3687,3263,3011,2228,18639,12132
"ENSG00000141564",767,448,851,460,483,241
"ENSG00000141568",688,443,580,349,1218,682
"ENSG00000141569",269,169,307,184,347,210
"ENSG00000141570",40,24,53,27,66,34
"ENSG00000141574",4978,2732,5523,3236,30338,16954
"ENSG00000141576",769,241,416,131,433,135
"ENSG00000141577",433,254,143,81,173,97
"ENSG00000141579",6,4,18,15,3,2
"ENSG00000141580",1367,903,633,371,1229,697
"ENSG00000141582",1064,608,1038,628,1450,807
"ENSG00000141622",138,83,13,8,29,23
"ENSG00000141627",832,478,890,522,3493,1907
"ENSG00000141639",4,4,5,6,33,38
"ENSG00000141642",18,10,70,25,118,53
"ENSG00000141644",1351,783,1235,728,4930,2808
"ENSG00000141646",698,384,835,444,2386,1183
"ENSG00000141655",73,44,60,34,12,7
"ENSG00000141664",654,385,292,175,1008,606
"ENSG00000141665",0,2,0,2,4,2
"ENSG00000141668",2,1,2,1,12,9
"ENSG00000141682",362,213,173,99,24,16
"ENSG00000141696",61,43,88,58,45,31
"ENSG00000141698",138,79,294,188,272,169
"ENSG00000141699",1785,1015,1580,940,5926,3249
"ENSG00000141736",513,297,354,230,107,81
"ENSG00000141738",2,2,0,0,3,1
"ENSG00000141741",362,173,516,251,2069,906
"ENSG00000141744",16,8,39,21,3,2
"ENSG00000141748",0,0,0,0,0,0
"ENSG00000141750",6,4,7,7,29,30
"ENSG00000141753",336,208,803,506,182,184
"ENSG00000141756",34,28,58,36,9,15
"ENSG00000141759",484,277,544,331,1428,824
"ENSG00000141837",47,84,17,11,83,130
"ENSG00000141854",39,33,54,49,310,287
"ENSG00000141858",743,410,424,254,561,319
"ENSG00000141867",7665,4519,3654,2149,6358,3562
"ENSG00000141873",449,169,466,172,417,122
"ENSG00000141905",1053,616,754,464,1497,861
"ENSG00000141933",61,32,76,38,54,26
"ENSG00000141934",13,11,2,5,5,3
"ENSG00000141946",0,0,0,0,0,0
"ENSG00000141956",223,132,211,123,138,85
"ENSG00000141959",3851,2669,2509,1612,4352,2564
"ENSG00000141965",87,53,73,53,86,46
"ENSG00000141968",4069,2515,4021,2382,19462,10933
"ENSG00000141971",339,205,389,262,1524,887
"ENSG00000141977",2,8,0,0,0,0
"ENSG00000141985",1758,938,1537,841,2662,1306
"ENSG00000141994",506,300,505,263,360,183
"ENSG00000142002",2123,1133,1797,993,2575,1351
"ENSG00000142025",40,24,14,8,23,12
"ENSG00000142039",1160,626,1149,589,3423,1822
"ENSG00000142046",646,184,900,289,3921,1086
"ENSG00000142065",66,38,68,36,75,47
"ENSG00000142082",336,211,290,180,649,371
"ENSG00000142089",9165,5083,6497,3755,30128,16582
"ENSG00000142102",15230,10018,7391,4796,18910,11508
"ENSG00000142149",10,6,2,3,5,3
"ENSG00000142156",241,172,145,121,150,173
"ENSG00000142163",0,0,0,0,0,0
"ENSG00000142166",1092,666,2053,1222,12995,7108
"ENSG00000142168",1108,650,1139,668,1695,987
"ENSG00000142173",2641,1557,1124,713,320,296
"ENSG00000142178",79,46,63,39,0,0
"ENSG00000142182",0,0,0,0,0,0
"ENSG00000142185",1047,628,2300,1334,3463,1941
"ENSG00000142186",1888,1116,2003,1118,5412,2919
"ENSG00000142188",438,240,669,334,743,374
"ENSG00000142192",1932,1098,1418,846,2982,1871
"ENSG00000142197",1010,636,545,319,1221,703
"ENSG00000142207",382,231,251,151,125,74
"ENSG00000142208",2181,1361,1708,933,1942,1034
"ENSG00000142224",0,2,0,0,29,52
"ENSG00000142227",4484,2559,5519,3242,6277,3456
"ENSG00000142230",1101,598,1081,637,929,512
"ENSG00000142233",9,16,15,15,16,13
"ENSG00000142235",125,89,54,33,166,111
"ENSG00000142252",129,6,237,15,430,21
"ENSG00000142273",0,0,0,1,0,0
"ENSG00000142279",17,13,17,15,18,17
"ENSG00000142303",1101,757,281,200,47,39
"ENSG00000142319",0,1,4,4,13,12
"ENSG00000142327",4277,2476,6295,3748,13914,7797
"ENSG00000142330",619,472,507,355,865,557
"ENSG00000142347",25799,16277,31319,18812,107322,61095
"ENSG00000142396",199,30,360,18,508,69
"ENSG00000142405",497,319,1539,947,15005,8450
"ENSG00000142408",25,14,1,1,29,34
"ENSG00000142409",812,455,1128,674,2641,1486
"ENSG00000142444",158,102,108,77,442,281
"ENSG00000142449",1,0,7,1,5,2
"ENSG00000142453",1951,1079,1119,636,650,357
"ENSG00000142459",309,198,306,184,776,449
"ENSG00000142484",3,1,0,0,2,0
"ENSG00000142494",34,19,11,11,15,9
"ENSG00000142507",713,427,1161,683,3267,1844
"ENSG00000142511",0,0,0,0,0,0
"ENSG00000142512",2330,1179,578,305,8008,3722
"ENSG00000142513",1,2,0,4,0,0
"ENSG00000142515",1,1,0,0,0,0
"ENSG00000142528",55,47,134,82,184,107
"ENSG00000142530",1,1,0,1,10,6
"ENSG00000142534",22884,12813,28841,16745,25799,14381
"ENSG00000142538",1,0,0,0,2,0
"ENSG00000142541",37345,17837,38392,18660,30152,14086
"ENSG00000142544",40,23,69,46,143,80
"ENSG00000142546",1398,918,1608,1070,4244,2624
"ENSG00000142549",5,8,9,5,9,11
"ENSG00000142552",588,373,427,249,971,565
"ENSG00000142556",40,20,71,39,99,58
"ENSG00000142583",356,212,72,40,76,48
"ENSG00000142599",2544,1464,1689,1016,7615,4241
"ENSG00000142606",6,9,0,2,32,17
"ENSG00000142609",0,3,0,1,2,4
"ENSG00000142611",1,1,1,4,4,5
"ENSG00000142615",0,0,18,19,0,0
"ENSG00000142619",0,0,0,0,0,0
"ENSG00000142621",15,10,11,19,16,11
"ENSG00000142623",0,0,0,0,2,0
"ENSG00000142627",8,4,35,26,7,8
"ENSG00000142632",100,62,95,63,485,266
"ENSG00000142634",9168,5077,15062,8739,50756,28132
"ENSG00000142655",491,297,350,212,564,327
"ENSG00000142657",7940,4939,15083,9180,259029,148664
"ENSG00000142661",20,13,20,27,18,19
"ENSG00000142669",20730,9908,20600,9847,58913,24962
"ENSG00000142675",50,35,48,35,28,17
"ENSG00000142676",6958,3883,13804,7931,6970,3953
"ENSG00000142677",4,2,10,6,0,0
"ENSG00000142684",0,0,0,0,0,0
"ENSG00000142686",126,71,206,123,318,191
"ENSG00000142687",2205,1434,1558,1002,10961,6705
"ENSG00000142694",28,0,129,0,86,0
"ENSG00000142698",0,0,0,0,4,2
"ENSG00000142700",0,0,0,0,0,0
"ENSG00000142731",22,14,18,12,24,13
"ENSG00000142733",143,100,170,123,412,263
"ENSG00000142748",5,14,7,11,38,39
"ENSG00000142751",518,316,459,269,1297,696
"ENSG00000142765",3549,3158,3395,2612,3623,2401
"ENSG00000142784",6232,3561,4619,2764,16335,9346
"ENSG00000142789",0,0,117,14,0,0
"ENSG00000142794",41,26,102,62,53,39
"ENSG00000142798",63,66,499,330,60,74
"ENSG00000142856",30,20,89,60,197,121
"ENSG00000142864",3221,1827,3056,1752,3864,2128
"ENSG00000142867",330,244,445,282,2052,1146
"ENSG00000142871",10,18,303,206,60,77
"ENSG00000142875",453,266,1321,745,603,369
"ENSG00000142892",210,118,336,183,869,476
"ENSG00000142910",8,9,241,135,72,44
"ENSG00000142920",89,50,61,35,29,24
"ENSG00000142937",9281,4603,15420,7953,12301,6203
"ENSG00000142945",136,82,43,27,77,46
"ENSG00000142949",108,69,89,65,80,72
"ENSG00000142959",16,12,14,10,24,16
"ENSG00000142961",546,299,808,467,6777,3665
"ENSG00000142973",3,7,73,54,25,23
"ENSG00000143001",0,0,0,0,1,0
"ENSG00000143006",0,0,0,0,0,0
"ENSG00000143013",319,186,438,260,1002,585
"ENSG00000143028",24,14,14,15,7,11
"ENSG00000143032",2,5,0,1,1,3
"ENSG00000143033",368,234,293,178,945,530
"ENSG00000143036",2,3,0,0,6,13
"ENSG00000143061",2,2,2,1,11,8
"ENSG00000143067",46,26,53,31,38,22
"ENSG00000143079",26,17,66,44,57,40
"ENSG00000143093",689,494,536,338,1653,1002
"ENSG00000143105",0,0,0,0,0,0
"ENSG00000143106",691,426,1015,611,3232,1810
"ENSG00000143107",2,1,3,3,6,3
"ENSG00000143110",3759,2216,4198,2691,70542,41542
"ENSG00000143119",13077,7798,23135,13425,138973,76665
"ENSG00000143125",1,0,2,3,0,0
"ENSG00000143126",135,82,93,62,78,79
"ENSG00000143127",47,38,74,44,94,61
"ENSG00000143147",9,6,22,15,18,13
"ENSG00000143149",702,371,754,395,2227,1071
"ENSG00000143153",48,26,134,72,167,177
"ENSG00000143155",217,146,582,334,1904,1050
"ENSG00000143156",26,15,39,26,182,87
"ENSG00000143157",734,395,732,424,1264,708
"ENSG00000143158",214,113,352,188,1123,561
"ENSG00000143162",1219,672,2084,1195,4764,2580
"ENSG00000143164",1047,576,1085,611,3071,1710
"ENSG00000143167",142,71,50,32,229,125
"ENSG00000143171",2,3,0,0,2,4
"ENSG00000143178",218,117,144,82,541,302
"ENSG00000143179",88,60,85,90,33,57
"ENSG00000143183",222,120,712,410,1663,901
"ENSG00000143184",78,49,42,26,6,3
"ENSG00000143185",162,115,104,73,4,3
"ENSG00000143190",792,476,317,200,392,233
"ENSG00000143194",1,0,0,0,8,5
"ENSG00000143195",42,21,8,4,18,15
"ENSG00000143196",20,7,6,0,7,4
"ENSG00000143198",293,198,576,356,740,482
"ENSG00000143199",7,7,1,1,8,9
"ENSG00000143207",658,527,1340,821,8778,4837
"ENSG00000143217",0,0,4,5,2,0
"ENSG00000143222",1153,499,1179,578,2914,1455
"ENSG00000143224",440,347,392,289,402,254
"ENSG00000143226",10024,4725,16798,8456,103798,48894
"ENSG00000143228",18,12,27,17,54,28
"ENSG00000143248",16,19,66,77,277,331
"ENSG00000143252",720,309,870,442,6904,3183
"ENSG00000143256",305,169,262,150,341,206
"ENSG00000143257",15,17,0,2,2,25
"ENSG00000143258",442,381,407,298,1507,929
"ENSG00000143278",0,0,0,0,0,0
"ENSG00000143294",1211,643,1276,719,3561,1830
"ENSG00000143297",307,166,39,22,174,99
"ENSG00000143303",426,291,379,252,835,521
"ENSG00000143314",240,129,342,206,342,200
"ENSG00000143315",83,59,78,73,131,95
"ENSG00000143318",223,122,34,29,40,39
"ENSG00000143319",982,539,728,435,2565,1433
"ENSG00000143320",38,26,52,27,24,16
"ENSG00000143321",8422,4603,4728,2699,7126,3933
"ENSG00000143322",262,167,261,146,987,539
"ENSG00000143324",485,301,469,274,1024,574
"ENSG00000143333",32,18,20,12,11,15
"ENSG00000143337",839,453,1655,884,8789,4422
"ENSG00000143340",0,0,0,0,3,1
"ENSG00000143341",4,4,18,17,8,5
"ENSG00000143344",89,52,214,127,349,207
"ENSG00000143353",60,34,88,49,346,169
"ENSG00000143355",2,1,0,2,1,0
"ENSG00000143363",400,217,424,246,1331,739
"ENSG00000143365",123,74,20,25,53,38
"ENSG00000143367",245,145,53,32,109,67
"ENSG00000143368",1787,1006,1683,989,4575,2550
"ENSG00000143369",22,16,30,22,39,21
"ENSG00000143373",1149,644,1280,752,4642,2600
"ENSG00000143374",423,288,283,184,726,417
"ENSG00000143375",13,9,6,4,12,8
"ENSG00000143376",3156,1802,1480,853,9823,5358
"ENSG00000143379",768,380,564,257,2180,784
"ENSG00000143382",1146,624,608,310,2593,971
"ENSG00000143384",18007,10074,14422,8171,119768,64725
"ENSG00000143387",120,111,139,110,651,478
"ENSG00000143390",835,465,597,322,855,468
"ENSG00000143393",2177,1360,1495,900,4300,2589
"ENSG00000143398",816,493,444,269,2324,1270
"ENSG00000143401",716,407,723,419,1801,1002
"ENSG00000143409",784,470,885,531,7789,4395
"ENSG00000143412",55,73,41,57,204,312
"ENSG00000143416",5829,3252,3436,1986,1268,718
"ENSG00000143418",1366,664,1443,676,3785,1629
"ENSG00000143420",2522,1387,2871,1662,8403,4626
"ENSG00000143429",4,3,0,0,1,2
"ENSG00000143434",151,85,67,45,43,29
"ENSG00000143436",258,145,373,181,293,131
"ENSG00000143437",1199,684,885,516,4566,2502
"ENSG00000143442",1581,906,951,544,2787,1574
"ENSG00000143443",40,32,58,27,337,192
"ENSG00000143450",1,2,19,9,3,1
"ENSG00000143452",8,6,1,0,7,3
"ENSG00000143457",139,82,148,85,279,150
"ENSG00000143458",358,212,268,163,337,196
"ENSG00000143469",4,3,0,0,1,3
"ENSG00000143473",6,3,0,0,0,1
"ENSG00000143476",137,76,20,10,56,33
"ENSG00000143479",52,68,26,28,90,86
"ENSG00000143486",771,574,650,472,523,364
"ENSG00000143493",186,113,283,168,308,175
"ENSG00000143494",2,1,4,2,19,11
"ENSG00000143498",13,10,12,16,43,21
"ENSG00000143499",191,119,370,222,225,147
"ENSG00000143502",84,51,11,8,52,32
"ENSG00000143507",669,392,347,201,135,73
"ENSG00000143512",4,2,5,3,1,1
"ENSG00000143514",579,339,545,328,1555,866
"ENSG00000143515",1754,1067,1154,686,734,411
"ENSG00000143520",0,0,22,31,0,0
"ENSG00000143536",0,0,1,0,12,0
"ENSG00000143537",1224,878,1598,1105,1981,1192
"ENSG00000143543",1825,48,3543,105,8736,227
"ENSG00000143545",187,16,192,8,660,44
"ENSG00000143546",5632,3124,76414,43365,636077,346939
"ENSG00000143549",14403,8086,12593,7137,53298,29007
"ENSG00000143552",0,1,6,4,16,17
"ENSG00000143553",241,129,313,187,2160,1195
"ENSG00000143554",543,360,749,493,484,308
"ENSG00000143556",0,1,0,0,1,0
"ENSG00000143569",4135,2490,1779,1070,4819,2754
"ENSG00000143570",539,3,1217,1,5525,14
"ENSG00000143575",755,481,950,557,2192,1237
"ENSG00000143578",88,51,19,10,127,69
"ENSG00000143590",18,6,12,2,23,10
"ENSG00000143595",102,62,56,34,23,10
"ENSG00000143603",8,5,21,13,37,32
"ENSG00000143612",1338,781,2058,1182,6601,3650
"ENSG00000143614",4653,2648,1375,794,4360,2408
"ENSG00000143621",930,588,1723,988,4240,2308
"ENSG00000143622",1916,1163,1699,987,5739,3134
"ENSG00000143624",1338,1538,614,706,3949,4074
"ENSG00000143627",60,31,3,4,0,4
"ENSG00000143630",38,16,17,7,80,36
"ENSG00000143631",0,0,32,45,1,1
"ENSG00000143632",7587,4158,1566,1193,856,953
"ENSG00000143633",54,29,102,54,363,205
"ENSG00000143641",551,309,723,373,16222,7522
"ENSG00000143643",703,411,1022,580,1868,1049
"ENSG00000143653",153,89,257,155,770,424
"ENSG00000143669",2987,1745,2227,1256,7038,3799
"ENSG00000143674",32,20,11,6,19,11
"ENSG00000143702",431,278,431,243,1563,823
"ENSG00000143727",657,371,716,432,541,315
"ENSG00000143740",298,156,421,236,686,377
"ENSG00000143742",290,205,1000,589,2189,1221
"ENSG00000143748",230,134,264,138,312,159
"ENSG00000143751",969,554,331,194,610,343
"ENSG00000143753",650,378,1099,633,4123,2265
"ENSG00000143756",227,131,462,263,917,501
"ENSG00000143761",14186,7754,10535,6015,29600,16330
"ENSG00000143768",0,0,0,1,2,2
"ENSG00000143771",187,127,551,311,4690,2585
"ENSG00000143772",3296,1855,1398,789,2799,1579
"ENSG00000143774",21540,12395,14629,8405,15140,8383
"ENSG00000143776",24,21,58,38,188,134
"ENSG00000143786",56,42,91,58,52,45
"ENSG00000143793",271,154,195,112,317,179
"ENSG00000143797",564,362,834,504,4709,2677
"ENSG00000143799",2476,1425,1761,999,2017,1162
"ENSG00000143801",120,12,86,7,83,5
"ENSG00000143811",1068,327,975,223,1213,265
"ENSG00000143815",1944,1256,3110,1745,16527,8968
"ENSG00000143816",0,1,4,2,2,5
"ENSG00000143819",218,313,177,132,172,141
"ENSG00000143839",0,0,0,0,0,0
"ENSG00000143842",320,188,312,190,40,32
"ENSG00000143845",25,15,18,11,6,3
"ENSG00000143847",124,132,9,14,99,115
"ENSG00000143850",9,16,20,14,44,49
"ENSG00000143851",2881,1668,3194,1881,3855,2157
"ENSG00000143858",8,15,4,8,12,23
"ENSG00000143862",2341,1440,1762,1014,8113,4336
"ENSG00000143867",0,2,0,2,5,3
"ENSG00000143869",13,6,73,34,8,7
"ENSG00000143870",878,445,937,457,1664,816
"ENSG00000143878",17728,9729,4066,2380,1007,632
"ENSG00000143882",43,24,14,7,15,6
"ENSG00000143889",381,255,329,192,2283,1279
"ENSG00000143891",591,342,183,118,378,209
"ENSG00000143919",66,45,66,57,115,87
"ENSG00000143921",0,0,0,1,0,1
"ENSG00000143924",2342,1448,844,503,2346,1295
"ENSG00000143933",2348,1216,9018,4467,32966,15755
"ENSG00000143942",16,9,18,9,45,26
"ENSG00000143947",6577,3619,12087,6732,10768,5872
"ENSG00000143951",73,58,39,25,54,41
"ENSG00000143952",323,182,427,259,1995,1108
"ENSG00000143954",0,0,0,2,0,0
"ENSG00000143970",504,274,666,379,1802,963
"ENSG00000143971",15,10,96,61,75,46
"ENSG00000143977",83,84,214,144,356,192
"ENSG00000143994",7,6,7,8,26,18
"ENSG00000143995",49,33,15,10,34,30
"ENSG00000144010",0,0,0,0,0,0
"ENSG00000144015",0,0,0,0,0,1
"ENSG00000144021",426,757,439,712,1235,1663
"ENSG00000144026",87,104,54,84,103,145
"ENSG00000144028",6310,3875,4127,2530,8783,5004
"ENSG00000144029",454,379,562,402,1257,796
"ENSG00000144031",9,7,6,5,4,4
"ENSG00000144034",29,26,163,100,147,88
"ENSG00000144035",0,0,1,0,0,1
"ENSG00000144036",166,92,158,89,171,119
"ENSG00000144040",480,277,424,248,4735,2625
"ENSG00000144043",1210,603,911,491,2800,1430
"ENSG00000144045",0,0,0,0,0,0
"ENSG00000144048",178,104,350,201,1130,626
"ENSG00000144057",0,2,4,4,4,5
"ENSG00000144061",4,3,10,3,16,15
"ENSG00000144063",0,0,4,4,0,0
"ENSG00000144115",9,8,31,24,26,21
"ENSG00000144118",2638,1415,3457,1959,26650,14404
"ENSG00000144119",0,0,0,0,1,2
"ENSG00000144120",8,7,22,17,32,20
"ENSG00000144130",38,26,9,6,23,19
"ENSG00000144134",216,161,122,90,169,117
"ENSG00000144136",3271,2112,1760,1048,2017,1136
"ENSG00000144152",39,20,8,4,25,12
"ENSG00000144158",1,1,0,2,0,1
"ENSG00000144161",87,55,88,50,152,87
"ENSG00000144182",11,8,84,44,112,60
"ENSG00000144188",1,1,0,0,0,0
"ENSG00000144191",0,0,0,0,0,0
"ENSG00000144199",74,53,52,35,48,40
"ENSG00000144214",15,14,54,38,203,118
"ENSG00000144218",410,254,128,80,138,90
"ENSG00000144224",1230,714,1276,738,5141,2801
"ENSG00000144227",0,0,0,0,0,4
"ENSG00000144228",1066,569,945,523,1960,1006
"ENSG00000144229",0,1,0,0,2,1
"ENSG00000144230",0,0,20,18,37,29
"ENSG00000144231",185,108,288,162,288,165
"ENSG00000144233",234,131,245,139,730,398
"ENSG00000144278",7,7,6,3,20,16
"ENSG00000144283",237,167,211,141,1012,610
"ENSG00000144285",0,0,0,2,15,26
"ENSG00000144290",13,9,2,1,49,45
"ENSG00000144306",29,21,84,51,336,210
"ENSG00000144320",224,119,327,201,2020,1109
"ENSG00000144331",4,5,1,2,5,7
"ENSG00000144339",0,1,2,1,8,13
"ENSG00000144354",75,43,40,22,54,33
"ENSG00000144355",0,0,0,1,4,6
"ENSG00000144357",352,224,520,309,2078,1186
"ENSG00000144362",10,6,0,1,26,13
"ENSG00000144366",0,1,6,3,10,12
"ENSG00000144369",12,10,10,5,67,67
"ENSG00000144381",3221,3237,1144,753,1848,1062
"ENSG00000144395",12,9,12,8,2,1
"ENSG00000144401",232,140,262,148,214,127
"ENSG00000144406",8,16,2,2,57,55
"ENSG00000144407",17,8,9,5,26,16
"ENSG00000144410",2,3,4,2,2,2
"ENSG00000144426",52,48,11,12,53,42
"ENSG00000144445",125,93,148,114,291,202
"ENSG00000144451",16,8,40,22,18,15
"ENSG00000144452",0,0,0,1,0,1
"ENSG00000144455",245,140,434,259,3545,1930
"ENSG00000144460",0,0,0,0,0,1
"ENSG00000144468",375,212,353,196,481,270
"ENSG00000144476",34,18,370,222,32,23
"ENSG00000144481",0,0,8,4,0,1
"ENSG00000144485",114,67,106,57,53,32
"ENSG00000144488",16,9,0,0,4,2
"ENSG00000144504",440,288,395,265,283,200
"ENSG00000144524",668,376,357,218,909,545
"ENSG00000144535",732,453,365,223,235,126
"ENSG00000144550",10,5,21,12,14,15
"ENSG00000144554",406,210,172,92,317,140
"ENSG00000144559",226,157,80,51,111,68
"ENSG00000144560",183,101,132,65,375,194
"ENSG00000144566",777,450,768,403,2566,1306
"ENSG00000144567",4023,2219,3621,2123,10439,5790
"ENSG00000144579",3979,2328,6585,3866,26311,14699
"ENSG00000144580",764,460,755,430,1304,732
"ENSG00000144583",0,1,4,2,2,3
"ENSG00000144589",1141,735,766,475,2082,1228
"ENSG00000144591",628,457,708,473,1244,805
"ENSG00000144596",6,4,0,3,3,4
"ENSG00000144597",694,353,340,168,953,473
"ENSG00000144619",0,1,0,1,7,12
"ENSG00000144635",403,272,973,566,3465,1946
"ENSG00000144642",2,4,43,30,16,19
"ENSG00000144644",0,0,0,0,0,0
"ENSG00000144645",225,129,74,45,33,22
"ENSG00000144647",160,93,158,85,243,137
"ENSG00000144648",10,6,2,1,2,1
"ENSG00000144649",10,5,6,5,2,5
"ENSG00000144655",14676,7985,4572,2613,7626,4191
"ENSG00000144659",1089,651,1006,610,535,309
"ENSG00000144668",20,10,117,65,86,45
"ENSG00000144671",2,2,18,10,14,12
"ENSG00000144674",371,231,558,331,1146,638
"ENSG00000144677",267,157,158,92,138,86
"ENSG00000144681",4,2,4,3,11,8
"ENSG00000144711",5498,4061,5971,4245,16683,11116
"ENSG00000144712",33,19,40,20,35,26
"ENSG00000144713",13860,7408,15141,8494,10857,5863
"ENSG00000144724",11,13,76,42,47,42
"ENSG00000144730",1,1,8,4,3,8
"ENSG00000144736",94,58,109,65,175,97
"ENSG00000144741",281,162,283,162,155,98
"ENSG00000144744",305,198,777,431,3762,1829
"ENSG00000144746",1319,723,3696,2085,11093,6006
"ENSG00000144747",516,285,668,354,1917,963
"ENSG00000144749",526,293,79,51,269,139
"ENSG00000144771",0,0,0,0,0,0
"ENSG00000144791",796,283,611,258,393,134
"ENSG00000144792",14,8,4,4,20,13
"ENSG00000144802",1448,903,1162,659,5053,2806
"ENSG00000144810",3,8,322,185,28,33
"ENSG00000144815",289,163,421,246,1862,997
"ENSG00000144820",0,0,2,2,0,0
"ENSG00000144821",0,2,0,0,3,4
"ENSG00000144824",63,40,78,50,34,27
"ENSG00000144827",107,62,294,173,366,209
"ENSG00000144834",10,10,0,1,48,67
"ENSG00000144837",0,4,74,50,3,5
"ENSG00000144840",155,89,227,139,351,206
"ENSG00000144843",128,71,246,142,607,346
"ENSG00000144847",6,3,18,10,24,16
"ENSG00000144848",981,719,1341,827,5473,3008
"ENSG00000144852",18,8,0,0,6,4
"ENSG00000144857",4,3,2,6,5,8
"ENSG00000144867",242,122,437,223,399,192
"ENSG00000144868",4,3,10,7,2,2
"ENSG00000144891",2,2,2,1,4,5
"ENSG00000144893",25,15,9,14,31,19
"ENSG00000144895",711,412,1018,622,1531,933
"ENSG00000144908",26,18,21,15,32,34
"ENSG00000144909",707,411,801,467,3311,1873
"ENSG00000144935",4,3,32,21,11,16
"ENSG00000144959",105,56,179,98,177,113
"ENSG00000144962",0,0,0,0,0,0
"ENSG00000145002",0,3,0,3,0,0
"ENSG00000145012",1929,1103,830,509,2510,1423
"ENSG00000145014",72,48,80,64,84,58
"ENSG00000145016",2001,485,788,99,3254,372
"ENSG00000145020",474,3,273,4,249,6
"ENSG00000145022",718,378,754,419,3056,1652
"ENSG00000145029",380,0,241,0,779,0
"ENSG00000145040",2,1,0,1,0,0
"ENSG00000145041",616,336,335,180,433,254
"ENSG00000145050",397,233,742,461,734,417
"ENSG00000145063",0,0,0,1,4,4
"ENSG00000145075",18,0,17,0,44,0
"ENSG00000145087",1,6,0,0,18,19
"ENSG00000145088",12,7,123,67,292,171
"ENSG00000145103",6,4,2,1,0,0
"ENSG00000145107",19,7,15,9,16,2
"ENSG00000145113",12,6,5,3,5,6
"ENSG00000145147",3,3,8,6,12,11
"ENSG00000145191",931,698,762,540,1219,759
"ENSG00000145192",35,18,0,1,12,9
"ENSG00000145194",49,0,94,0,131,4
"ENSG00000145198",4,5,2,1,13,16
"ENSG00000145214",1409,864,1316,816,872,506
"ENSG00000145216",617,145,480,109,1469,268
"ENSG00000145217",69,52,20,9,16,12
"ENSG00000145220",366,279,780,513,371,230
"ENSG00000145241",196,137,261,155,217,125
"ENSG00000145242",0,0,0,1,8,9
"ENSG00000145244",7,7,8,5,39,35
"ENSG00000145246",274,169,407,227,392,212
"ENSG00000145247",146,84,219,127,158,88
"ENSG00000145248",2,1,8,4,0,0
"ENSG00000145283",0,0,2,1,0,0
"ENSG00000145284",21,20,59,39,171,156
"ENSG00000145287",2059,1159,1372,790,56917,30999
"ENSG00000145293",194,108,340,192,151,98
"ENSG00000145309",0,0,0,0,0,0
"ENSG00000145321",97,50,0,0,24,13
"ENSG00000145331",20,13,19,12,94,50
"ENSG00000145332",224,128,558,328,3415,1899
"ENSG00000145335",4009,1491,6702,2373,674,232
"ENSG00000145337",1,0,7,0,0,0
"ENSG00000145348",169,98,87,48,694,398
"ENSG00000145349",448,282,435,266,260,165
"ENSG00000145354",143,71,425,211,321,138
"ENSG00000145358",4,3,16,18,6,10
"ENSG00000145362",20,41,6,8,209,210
"ENSG00000145365",144,76,166,91,1568,817
"ENSG00000145375",148,87,101,56,72,36
"ENSG00000145384",0,0,0,0,6,3
"ENSG00000145386",79,46,78,34,76,47
"ENSG00000145388",173,95,235,132,519,292
"ENSG00000145390",73,50,104,64,140,94
"ENSG00000145391",175,109,217,142,423,271
"ENSG00000145414",58,58,40,36,109,65
"ENSG00000145416",257,167,801,456,970,528
"ENSG00000145423",198,110,40,25,48,45
"ENSG00000145425",2382,1008,8364,2717,5052,1286
"ENSG00000145428",127,110,655,632,2415,2548
"ENSG00000145431",39,24,81,50,1369,764
"ENSG00000145439",97,56,143,93,656,411
"ENSG00000145451",0,1,0,1,0,2
"ENSG00000145476",179,112,215,128,208,126
"ENSG00000145491",110,66,568,324,1553,884
"ENSG00000145494",328,197,464,281,605,336
"ENSG00000145495",2418,1510,1944,1154,5271,3006
"ENSG00000145506",4,7,0,1,4,8
"ENSG00000145526",3,5,0,0,5,11
"ENSG00000145536",0,3,4,2,2,2
"ENSG00000145545",92,56,168,92,625,345
"ENSG00000145555",22,19,53,37,412,232
"ENSG00000145569",330,233,631,453,5576,3524
"ENSG00000145592",6533,3550,7803,4426,6426,3561
"ENSG00000145604",148,105,124,78,281,182
"ENSG00000145623",33,28,75,55,38,43
"ENSG00000145626",0,0,0,0,0,1
"ENSG00000145632",56,39,120,72,57,56
"ENSG00000145642",0,0,0,0,0,0
"ENSG00000145649",1078,606,7083,4051,398,209
"ENSG00000145675",3228,1948,1458,832,1999,1118
"ENSG00000145681",0,0,0,1,0,1
"ENSG00000145685",121,71,512,298,461,256
"ENSG00000145687",267,167,80,61,156,107
"ENSG00000145692",9,4,0,0,1,1
"ENSG00000145700",2,1,2,1,0,4
"ENSG00000145703",1525,951,1757,1029,3348,1825
"ENSG00000145708",15,10,10,8,51,31
"ENSG00000145715",379,224,368,210,1565,747
