"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000100284",5714,3033,6825,1653,2006,1066,1.34194931869508e-10,"TOM1",213,294
"ENSG00000157657",47,14,31,4181,1920,2712,1.34947888463958e-10,"ZNF618",214,186
"ENSG00000260852",10,13,13,626,495,696,1.35195245619753e-10,"FBXL19-AS1",215,28
"ENSG00000242094",1,0,7,432,676,620,1.37612550765604e-10,"FOXP1-IT1",216,33
"ENSG00000244734",2892707,5422362,1555212,55090,304,7160,1.3926672271335e-10,"HBB",217,138
"ENSG00000160570",2080,1211,4448,786,960,684,1.45790221553359e-10,"DEDD2",218,114
"ENSG00000260592",107,66,47,4,0,2,1.60172114085417e-10,"AC130456.3",219,-98
"ENSG00000105287",4435,3328,3716,1598,1169,1253,1.75016576313515e-10,"PRKD2",220,243
"ENSG00000250802",1,2,4,312,329,287,2.00962430606162e-10,"ZBED3-AS1",221,120
"ENSG00000144407",8,5,16,573,492,1018,2.06538605777263e-10,"PTH2R",222,170
"ENSG00000269981",1053,543,3377,11,119,25,2.07502492632504e-10,"AL627309.7",223,650
"ENSG00000109472",39,147,397,5,0,0,2.19216259462235e-10,"CPE",224,646
"ENSG00000118495",158,127,245,8284,4288,4741,2.19267494632625e-10,"PLAGL1",225,337
"ENSG00000117984",4713,4517,15234,2670,2606,1562,2.35531964966425e-10,"CTSD",226,-151
"ENSG00000164047",859,153,319,22,10,1,2.52579452950015e-10,"CAMP",227,207
"ENSG00000105374",11686,8884,6564,1815,448,533,2.61392756569653e-10,"NKG7",228,194
"ENSG00000147454",26666,37688,76053,10910,2498,3012,2.63558507294435e-10,"SLC25A37",229,277
"ENSG00000172354",6323,7499,24120,2722,4000,2066,2.80772160827928e-10,"GNB2",230,208
"ENSG00000178814",133,309,5062,32,29,28,2.80772160827928e-10,"OPLAH",231,291
"ENSG00000257335",1760,4390,40021,405,492,98,2.80772160827928e-10,"MGAM",232,191
"ENSG00000221983",29587,26382,18712,5671,6609,6688,2.86483695243013e-10,"UBA52",233,223
"ENSG00000120306",774,1480,29938,115,213,127,2.88066177106002e-10,"CYSTM1",234,212
"ENSG00000145901",5970,4502,12262,4105,3972,3270,2.88066177106002e-10,"TNIP1",235,261
"ENSG00000223722",55,35,114,5,11,2,3.23684028596263e-10,"IFITM3P2",236,1968
"ENSG00000171051",18161,30305,173947,1182,1510,35,3.31251699727603e-10,"FPR1",237,170
"ENSG00000116991",600,580,4521,91,187,136,3.35461543327517e-10,"SIPA1L2",238,296
"ENSG00000172469",19,29,49,876,1084,1126,3.49021355259426e-10,"MANEA",239,235
"ENSG00000136824",51,81,83,2424,3440,2290,3.52931497754052e-10,"SMC2",240,187
"ENSG00000267041",10,17,10,816,715,880,3.64265070724888e-10,"ZNF850",241,403
"ENSG00000225720",20,70,87,6,4,4,3.85846252660749e-10,"AL031846.1",242,1437
"ENSG00000169583",378,473,76,23,19,16,4.01780527204316e-10,"CLIC3",243,229
"ENSG00000125498",114,262,96,13,3,1,4.04069022200818e-10,"KIR2DL1",244,112
"ENSG00000100100",2718,2766,2397,1049,616,509,4.07764895544674e-10,"PIK3IP1",245,254
"ENSG00000127914",397,270,728,10435,10283,11945,4.40206439800202e-10,"AKAP9",246,247
"ENSG00000171877",1,1,3,322,285,316,4.66086363917608e-10,"FRMD5",247,188
"ENSG00000117298",2182,3117,14838,1109,552,421,4.67136975493082e-10,"ECE1",248,222
"ENSG00000136982",8,7,10,363,457,383,4.67756389073592e-10,"DSCC1",249,121
"ENSG00000168899",292,446,1180,106,198,119,4.78245548789854e-10,"VAMP5",250,130
"ENSG00000164512",60,97,284,35,25,21,4.83859832034774e-10,"ANKRD55",251,84
"ENSG00000152455",12,19,12,752,1060,866,4.8797643115214e-10,"SUV39H2",252,838
"ENSG00000107223",1433,1371,2382,1125,1189,1121,4.96510902791323e-10,"EDF1",253,332
"ENSG00000167083",115,96,74,15,20,19,5.04421376355173e-10,"GNGT2",254,98
"ENSG00000170290",111,53,31,0,0,0,5.52160493826865e-10,"SLN",255,305
"ENSG00000109107",426,183,1004,118,78,43,5.5938012080152e-10,"ALDOC",256,163
"ENSG00000271270",7,4,26,1088,582,1114,5.5938012080152e-10,"TMCC1-AS1",257,180
"ENSG00000188536",1125080,626411,239198,5937,23,82,5.61602212810756e-10,"HBA2",258,157
"ENSG00000181722",42,26,42,2792,1140,2779,5.71049599039968e-10,"ZBTB20",259,52
"ENSG00000126934",2717,2383,5942,2326,2027,1846,6.14729323294752e-10,"MAP2K2",260,561
"ENSG00000203999",169,225,696,6,27,1,6.78005334079529e-10,"LINC01270",261,335
"ENSG00000204767",16,5,20,631,756,697,6.78005334079529e-10,"INSYN2B",262,1463
"ENSG00000162390",22,9,8,3986,978,2126,6.87032228125841e-10,"ACOT11",263,389
"ENSG00000140264",2092,2930,6247,1403,1826,1522,6.92382211666594e-10,"SERF2",264,-27
"ENSG00000277443",2635,3064,5601,1026,498,198,7.00748865016043e-10,"MARCKS",265,163
"ENSG00000122779",128,118,267,3301,4471,3626,7.41326730620461e-10,"TRIM24",266,290
"ENSG00000101335",606,486,282,86,51,93,7.84857312871668e-10,"MYL9",267,749
"ENSG00000008056",68,95,161,10,31,19,8.30464685477998e-10,"SYN1",268,146
"ENSG00000111247",5,8,8,383,968,531,8.35792453911681e-10,"RAD51AP1",269,279
"ENSG00000265713",0,0,0,312,411,324,8.35792453911681e-10,"AC023389.2",270,54
"ENSG00000178502",5,9,7,545,375,734,8.7380456193487e-10,"KLHL11",271,-104
"ENSG00000116871",3262,3258,7027,3103,2481,2088,8.98714102860746e-10,"MAP7D1",272,255
"ENSG00000198482",32,38,84,1961,1125,1589,9.60348762139183e-10,"ZNF808",273,705
"ENSG00000107890",17,33,21,1195,1315,1576,1.04230950788443e-09,"ANKRD26",274,904
"ENSG00000102010",137,352,4672,53,16,12,1.05235182458013e-09,"BMX",275,234
"ENSG00000133739",10,12,15,652,447,923,1.06175378044862e-09,"LRRCC1",276,250
"ENSG00000153395",5024,3046,7051,1896,2690,2015,1.09788427062817e-09,"LPCAT1",277,274
"ENSG00000272219",3,0,4,285,560,393,1.16239452452695e-09,"AC005072.1",278,133
"ENSG00000102871",467,345,1008,314,293,267,1.23729220534816e-09,"TRADD",279,314
"ENSG00000175455",96,127,119,3822,3284,3973,1.29657383576717e-09,"CCDC14",280,401
"ENSG00000146281",92,69,105,4903,2338,2901,1.3271685544624e-09,"PM20D2",281,269
"ENSG00000224083",3,1,6,265,363,304,1.33147154458384e-09,"MTCO1P11",282,-3
"ENSG00000189430",269,171,143,43,29,13,1.41976679673013e-09,"NCR1",283,1091
"ENSG00000088882",30,9,7,4093,1457,5068,1.41981970117088e-09,"CPXM1",284,600
"ENSG00000158856",13792,7257,2781,760,98,314,1.53871092883909e-09,"DMTN",285,231
"ENSG00000110628",398,362,705,244,276,152,1.58559682458347e-09,"SLC22A18",286,408
"ENSG00000134815",5258,2203,6602,1863,1357,1064,1.64839005222373e-09,"DHX34",287,470
"ENSG00000128383",1773,2752,12762,318,78,12,1.87281876348425e-09,"APOBEC3A",288,247
"ENSG00000132436",12,27,25,862,880,1000,1.87281876348425e-09,"FIGNL1",289,286
"ENSG00000091127",32,25,37,1192,795,929,1.94024616558313e-09,"PUS7",290,78
"ENSG00000012048",49,55,155,2101,3138,2432,2.00505901292325e-09,"BRCA1",291,446
"ENSG00000134369",61,76,90,1824,2827,3005,2.11866015425956e-09,"NAV1",292,199
"ENSG00000112576",5962,7592,23956,4580,3775,2875,2.16955037824225e-09,"CCND3",293,245
